Course/Major,Honor's received,Honor's received after graduation,Academic Certifications,Technical Skills,Graduation Term,Employment Status
3,5,1,3,11,1,Unemployed
3,5,1,3,41,0,Employed
3,5,1,3,41,1,Employed
3,5,1,3,14,1,Employed
3,5,1,3,14,0,Employed
0,3,1,2,38,0,Employed
3,5,1,3,2,0,Employed
2,5,1,3,37,0,Employed
4,8,0,1,2,0,Unemployed
3,5,1,3,0,0,Employed
2,5,1,3,2,1,Employed
4,5,1,3,43,1,Employed
4,6,1,0,12,0,Employed
3,5,1,3,29,1,Employed
4,5,1,3,47,0,Employed
4,6,1,0,43,0,Employed
3,5,1,3,51,0,Employed
4,5,1,3,0,0,Employed
3,5,1,3,41,1,Employed
3,5,1,3,52,1,Employed
3,3,1,0,43,0,Employed
3,3,1,3,0,0,Employed
3,5,1,3,0,0,Employed
2,5,1,3,53,0,Employed
2,5,1,3,16,0,Employed
0,5,1,0,35,0,Employed
2,5,1,3,20,0,Employed
4,3,1,0,21,0,Employed
3,5,1,3,41,0,Employed
2,5,1,3,28,0,Employed
2,6,2,0,20,0,Employed
3,5,1,3,47,0,Employed
4,5,1,3,19,0,Employed
3,5,1,3,45,0,Employed
4,5,1,3,5,1,Unemployed
3,5,1,3,50,0,Employed
4,5,1,3,28,0,Employed
2,3,1,3,2,0,Employed
4,5,1,3,6,0,Employed
4,5,1,3,37,0,Employed
4,5,1,3,20,0,Employed
4,3,1,3,22,0,Employed
3,5,1,3,28,0,Employed
3,3,1,1,2,1,Employed
0,5,1,3,2,0,Unemployed
3,5,1,3,14,0,Unemployed
3,5,1,3,0,0,Employed
